_id,company_name,salary,url,vacancies_name
https://hh.ru/vacancy/69570270?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,ОООАктив Матрикс,"{'от': 210000, 'до': None, 'валюта': 'руб.'}",https://hh.ru/vacancy/69570270?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Программист С++ (data engineer)
https://hh.ru/vacancy/69614149?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,АОАгроТаргет,"{'от': 150000, 'до': 200000, 'валюта': 'руб.'}",https://hh.ru/vacancy/69614149?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Backend Developer (Python)
https://hh.ru/vacancy/69678124?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Соломин Глеб,"{'от': 250000, 'до': '', 'валюта': 'руб.'}",https://hh.ru/vacancy/69678124?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Middle/Senior PHP/Go-разработчик
https://hh.ru/vacancy/69275699?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Инфосистемы Джет,"{'от': None, 'до': None, 'валюта': None}",https://hh.ru/vacancy/69275699?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Business Development Manager (Applications)
https://hh.ru/vacancy/69629513?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Navicon,"{'от': None, 'до': None, 'валюта': None}",https://hh.ru/vacancy/69629513?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Бизнес-аналитик Track&Trace
https://hh.ru/vacancy/69617754?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Tele2,"{'от': None, 'до': None, 'валюта': None}",https://hh.ru/vacancy/69617754?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Head of Data Science
https://hh.ru/vacancy/69088830?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Газпромбанк,"{'от': None, 'до': None, 'валюта': None}",https://hh.ru/vacancy/69088830?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Team Lead программы проектов модернизации платформы данных
https://hh.ru/vacancy/69861199?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,SMPS Marketing ltd,"{'от': None, 'до': None, 'валюта': None}",https://hh.ru/vacancy/69861199?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Junior Backoffice Analyst
https://hh.ru/vacancy/69258228?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,ОООHeadHunter::Project Management,"{'от': None, 'до': None, 'валюта': None}",https://hh.ru/vacancy/69258228?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Project Manager
https://hh.ru/vacancy/54911771?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,ГКУ Инфогород,"{'от': None, 'до': None, 'валюта': None}",https://hh.ru/vacancy/54911771?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Аналитик по работе с данными
https://hh.ru/vacancy/68020074?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,ПАОМТС Банк. IT,"{'от': None, 'до': None, 'валюта': None}",https://hh.ru/vacancy/68020074?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Системный аналитик
https://hh.ru/vacancy/67114834?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,ОООПерфект Арт,"{'от': None, 'до': None, 'валюта': None}",https://hh.ru/vacancy/67114834?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Frontend Developer (Angular) (to Serbia)
https://hh.ru/vacancy/69712214?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,ПАОМТС Банк. IT,"{'от': None, 'до': None, 'валюта': None}",https://hh.ru/vacancy/69712214?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Старший системный аналитик
https://hh.ru/vacancy/66075789?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,ОООHeadHunter::Product Management,"{'от': None, 'до': None, 'валюта': None}",https://hh.ru/vacancy/66075789?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Middle/Senior продуктовый аналитик в направление монетизации
https://hh.ru/vacancy/69748788?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Antal Talent,"{'от': 130000, 'до': 150000, 'валюта': 'руб.'}",https://hh.ru/vacancy/69748788?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Экономист-аналитик
https://hh.ru/vacancy/67095312?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,ПАОМТС Банк. Головной офис,"{'от': None, 'до': None, 'валюта': None}",https://hh.ru/vacancy/67095312?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Ведущий системный аналитик
https://hh.ru/vacancy/69762722?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Navicon,"{'от': None, 'до': None, 'валюта': None}",https://hh.ru/vacancy/69762722?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Младший бизнес-аналитик Track&Trace
https://hh.ru/vacancy/68784510?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,"ПАО«МТС», IT","{'от': None, 'до': None, 'валюта': None}",https://hh.ru/vacancy/68784510?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,DevOps engineer в МТС Метрику (Big Data)
https://hh.ru/vacancy/69533311?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,ОООПРОФ-ИТ ГРУПП,"{'от': None, 'до': None, 'валюта': None}",https://hh.ru/vacancy/69533311?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Ведущий консультант аналитик 1C
https://hh.ru/vacancy/68836958?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,НОРБИТ,"{'от': None, 'до': None, 'валюта': None}",https://hh.ru/vacancy/68836958?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Ведущий программист DS/DE
https://hh.ru/vacancy/69743582?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,ОООБюро кредитных историй Скоринг Бюро,"{'от': None, 'до': None, 'валюта': None}",https://hh.ru/vacancy/69743582?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,DataScientist построение моделей
https://hh.ru/vacancy/69824658?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Инфосистемы Джет,"{'от': None, 'до': None, 'валюта': None}",https://hh.ru/vacancy/69824658?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Business Development Manager
https://hh.ru/vacancy/69761981?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Правительство Москвы,"{'от': None, 'до': 49200, 'валюта': 'руб.'}",https://hh.ru/vacancy/69761981?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Аналитик данных (стажёр)
https://hh.ru/vacancy/69816098?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,ОООФазум,"{'от': None, 'до': None, 'валюта': None}",https://hh.ru/vacancy/69816098?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Системный аналитик
https://hh.ru/vacancy/69177011?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Ипотека.Центр,"{'от': None, 'до': None, 'валюта': None}",https://hh.ru/vacancy/69177011?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Web-аналитик / Руководитель web-аналитики
https://hh.ru/vacancy/69821307?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,ALTHAUS Group,"{'от': None, 'до': None, 'валюта': None}",https://hh.ru/vacancy/69821307?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Investment Analyst / Senior Analyst
https://hh.ru/vacancy/69806167?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Яндекс,"{'от': None, 'до': None, 'валюта': None}",https://hh.ru/vacancy/69806167?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Аналитик-разработчик в команду технологий безопасности Такси
https://hh.ru/vacancy/69802072?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,MTRENDO,"{'от': 90000, 'до': 150000, 'валюта': 'руб.'}",https://hh.ru/vacancy/69802072?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Data Engineer
https://hh.ru/vacancy/69896015?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,EGGНEADS,"{'от': None, 'до': None, 'валюта': None}",https://hh.ru/vacancy/69896015?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Помощник Devops (удалённая работа)
https://hh.ru/vacancy/69907063?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Яндекс,"{'от': None, 'до': None, 'валюта': None}",https://hh.ru/vacancy/69907063?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20big%20data,Менеджер проектов в Авто.ру
